MIMIC III ITEMID,MIMIC III LABEL,MIMIC III FLUID,MIMIC III CATEGORY,MIMIC III LOINC CODE,MIMIC II LOINC CODE,MIMIC II LOINC DESCRIPTION,MIMIC II ITEMID,COMMENTS
51024,"TOTAL PROTEIN, JOINT FLUID",JOINT FLUID,CHEMISTRY,,2886-0,Protein [Mass/volume] in Synovial fluid,50210,
51059,"TOTAL PROTEIN, PLEURAL",PLEURAL,CHEMISTRY,,2882-9,Protein [Mass/volume] in Pleural fluid,50246,
51102,"TOTAL PROTEIN, URINE",URINE,CHEMISTRY,2887-8,2888-6,Protein [Mass/volume] in Urine,50278,
50998,TRANSFERRIN,BLOOD,CHEMISTRY,2500-7,3034-6,Transferrin [Mass/volume] in Serum or Plasma,50173,
51501,TRANSITIONAL EPITHELIAL CELLS,URINE,HEMATOLOGY,,30089-7,Transitional cells [#/area] in Urine sediment by Microscopy high power field,50664,
51502,TRICHOMONAS,URINE,HEMATOLOGY,,32724-7,Trichomonas sp [Presence] in Urine by Light microscopy,50665,
50999,TRICYCLIC ANTIDEPRESSANT SCREEN,BLOOD,CHEMISTRY,,4073-3,Tricyclic antidepressants [Presence] in Serum or Plasma,50198,
51044,TRIGLYCER,OTHER BODY FLUID,CHEMISTRY,,12228-3,Triglyceride [Mass/volume] in Body fluid,50231,
51000,TRIGLYCERIDES,BLOOD,CHEMISTRY,1644-4,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,50174,
50850,"TRIGLYCERIDES, ASCITES",ASCITES,CHEMISTRY,,14447-7,Triglyceride [Mass/volume] in Peritoneal fluid,50052,
51060,"TRIGLYCERIDES, PLEURAL",PLEURAL,CHEMISTRY,,9619-8,Triglyceride [Mass/volume] in Pleural fluid,50247,
51001,TRIIODOTHYRONINE (T3),BLOOD,CHEMISTRY,3053-6,3053-6,Triiodothyronine [Mass/volume] in Serum or Plasma,50162,
51503,TRIPLE PHOSPHATE CRYSTALS,URINE,HEMATOLOGY,5814-9,5814-9,Triple phosphate crystals [Presence] in Urine sediment by Light microscopy,50620,
51002,TROPONIN I,BLOOD,CHEMISTRY,10839-9,42757-5,Troponin I.cardiac [Mass/volume] in Blood,50188,
51003,TROPONIN T,BLOOD,CHEMISTRY,6598-7,48425-3,Troponin T.cardiac [Mass/volume] in Blood,50189,
51504,TYROSINE CRYSTALS,URINE,HEMATOLOGY,5815-6,5815-6,Tyrosine crystals [Presence] in Urine sediment by Light microscopy,50667,
51004,"UE3, MATERNAL SCREEN",BLOOD,CHEMISTRY,,,,50690,
51103,UHOLD,URINE,CHEMISTRY,,,,50282,
51005,UPTAKE RATIO,BLOOD,CHEMISTRY,3050-2,,,50176,
51006,UREA NITROGEN,BLOOD,CHEMISTRY,3094-0,3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,50177,
50851,"UREA NITROGEN, ASCITES",ASCITES,CHEMISTRY,,12265-5,Urea nitrogen [Mass/volume] in Peritoneal fluid,50053,
51045,"UREA NITROGEN, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,3093-2,Urea nitrogen [Mass/volume] in Body fluid,50232,
51104,"UREA NITROGEN, URINE",URINE,CHEMISTRY,,3095-7,Urea nitrogen [Mass/volume] in Urine,50283,
51007,URIC ACID,BLOOD,CHEMISTRY,3084-1,3084-1,Urate [Mass/volume] in Serum or Plasma,50178,
51505,URIC ACID CRYSTALS,URINE,HEMATOLOGY,5817-2,5817-2,Urate crystals [Presence] in Urine sediment by Light microscopy,50670,
51105,"URIC ACID, URINE",URINE,CHEMISTRY,3086-6,3086-6,Urate [Mass/volume] in Urine,50284,
51506,URINE APPEARANCE,URINE,HEMATOLOGY,5767-9,5767-9,Appearance of Urine,50623,
51507,"URINE CASTS, OTHER",URINE,HEMATOLOGY,9842-6,,,50668,
51508,URINE COLOR,URINE,HEMATOLOGY,5778-6,5778-6,Color of Urine,50633,
51509,URINE COMMENTS,URINE,HEMATOLOGY,,,,,"No ITEMID in mimic2v26, but exists in 2010 lab data dump"
51106,URINE CREATININE,URINE,CHEMISTRY,,,,50258,
51510,"URINE CRYSTALS, OTHER",URINE,HEMATOLOGY,,5783-6,Unidentified crystals [Presence] in Urine sediment by Light microscopy,50669,
51511,URINE FAT BODIES,URINE,HEMATOLOGY,,2272-3,Fat [Presence] in Urine,50638,
51512,URINE MUCOUS,URINE,HEMATOLOGY,8247-9,8247-9,Mucus [Presence] in Urine sediment by Light microscopy,50649,
51513,URINE SPECIMEN TYPE,URINE,HEMATOLOGY,,19159-3,Urinalysis specimen collection method,50666,
51107,"URINE TUBE, HELD",URINE,CHEMISTRY,,,,50282,
51108,URINE VOLUME,URINE,CHEMISTRY,,28009-9,Volume of Urine,50285,
51109,"URINE VOLUME, TOTAL",URINE,CHEMISTRY,,28009-9,Volume of Urine,50259,
51514,UROBILINOGEN,URINE,HEMATOLOGY,5818-0,3107-0,Urobilinogen [Mass/volume] in Urine,50671,
51008,VALPROIC ACID,BLOOD,CHEMISTRY,4086-5,4086-5,Valproate [Mass/volume] in Serum or Plasma,50179,
51009,VANCOMYCIN,BLOOD,CHEMISTRY,4091-5,20578-1,Vancomycin [Mass/volume] in Serum or Plasma,50180,
50827,VENTILATION RATE,BLOOD,BLOOD GAS,,,,50020,
50828,VENTILATOR,BLOOD,BLOOD GAS,,,,50027,
51010,VITAMIN B12,BLOOD,CHEMISTRY,2170-9,16695-9,Cobalamin [Mass/volume] in Blood,50181,
51549,VOIDED SPECIMEN,ASCITES,CHEMISTRY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51545,VOIDED SPECIMEN,BLOOD,BLOOD GAS,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51543,VOIDED SPECIMEN,BLOOD,CHEMISTRY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51550,VOIDED SPECIMEN,BLOOD,HEMATOLOGY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51546,VOIDED SPECIMEN,CSF,CHEMISTRY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51554,VOIDED SPECIMEN,JOINT FLUID,HEMATOLOGY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51544,VOIDED SPECIMEN,OTHER BODY FLUID,BLOOD GAS,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51547,VOIDED SPECIMEN,OTHER BODY FLUID,CHEMISTRY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51551,VOIDED SPECIMEN,OTHER BODY FLUID,HEMATOLOGY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51552,VOIDED SPECIMEN,STOOL,CHEMISTRY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51553,VOIDED SPECIMEN,URINE,CHEMISTRY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51548,VOIDED SPECIMEN,URINE,HEMATOLOGY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51298,VON WILLEBRAND FACTOR ACTIVITY,BLOOD,HEMATOLOGY,6014-5,6014-5,von Willebrand factor (vWf) ristocetin cofactor actual/normal in Platelet poor plasma by Aggregation,50466,
51299,VON WILLEBRAND FACTOR ANTIGEN,BLOOD,HEMATOLOGY,6012-9,27816-8,von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunologic method,50465,
51515,WAXY CASTS,URINE,HEMATOLOGY,5819-8,5819-8,Waxy casts [#/area] in Urine sediment by Microscopy low power field,50673,
51516,WBC,URINE,HEMATOLOGY,5821-4,5821-4,Leukocytes [#/area] in Urine sediment by Microscopy high power field,50674,
51517,WBC CASTS,URINE,HEMATOLOGY,5820-6,5820-6,WBC casts [#/area] in Urine sediment by Microscopy low power field,50675,
51518,WBC CLUMPS,URINE,HEMATOLOGY,,,,50676,
51300,WBC COUNT,BLOOD,HEMATOLOGY,,26464-8,Leukocytes [#/volume] in Blood,50316,
51128,"WBC, ASCITES",ASCITES,HEMATOLOGY,,26468-9,Leukocytes [#/volume] in Peritoneal fluid,50314,
51363,"WBC, CSF",CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,26465-5,Leukocytes [#/volume] in Cerebral spinal fluid,50527,
51384,"WBC, JOINT FLUID",JOINT FLUID,HEMATOLOGY,,26469-7,Leukocytes [#/volume] in Synovial fluid,50548,
51439,"WBC, OTHER FLUID",OTHER BODY FLUID,HEMATOLOGY,,26466-3,Leukocytes [#/volume] in Body fluid,50599,
51458,"WBC, PLEURAL",PLEURAL,HEMATOLOGY,,26467-1,Leukocytes [#/volume] in Pleural fluid,50617,
51533,WBCP,BLOOD,HEMATOLOGY,,,,50715,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51301,WHITE BLOOD CELLS,BLOOD,HEMATOLOGY,804-5,26464-8,Leukocytes [#/volume] in Blood,50468,
51342,WRIGHT GIEMSA,BONE MARROW,HEMATOLOGY,,10355-6,Microscopic observation [Identifier] in Bone marrow by Wright Giemsa stain,50508,
51519,YEAST,URINE,HEMATOLOGY,5822-2,32356-8,Yeast [Presence] in Urine sediment by Light microscopy,50677,
51129,YOUNG,ASCITES,HEMATOLOGY,,,,50705,
51364,YOUNG,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,,,50528,
51302,YOUNG CELLS,BLOOD,HEMATOLOGY,,51633-6,Platelets reticulated/100 platelets in Blood,50473,
51459,YOUNG CELLS,PLEURAL,HEMATOLOGY,,,,50618,
51538,[A1c],BLOOD,CHEMISTRY,,4548-4,Hemoglobin A1c (glycated HgB)/Hemoglobin.total [Moles] in Blood,50183,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51529,eAG,BLOOD,CHEMISTRY,,,,50697,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
